A, b ready
BICGSTAB: system of size 252004
    k     ‖rₖ‖      |αₖ|      |ωₖ|  timer
    0  4.5e+03   1.0e+00   1.0e+00  0.17s
    1  5.0e+08   1.0e+00   1.6e-06  0.31s
    2  1.7e+08   1.3e-06   1.4e-06  0.31s
    3  1.0e+08   2.4e-06   6.8e-07  0.31s
    4  7.0e+07   2.7e-06   6.3e-07  0.32s
    5  5.6e+07   1.9e-06   9.5e-07  0.32s
    6  4.6e+07   1.6e-06   1.0e-06  0.32s
    7  3.8e+07   2.1e-06   6.9e-07  0.32s
    8  3.3e+07   1.6e-06   1.9e-06  0.33s
    9  2.8e+07   2.1e-06   6.1e-07  0.33s
   10  2.5e+07   1.7e-06   2.6e-06  0.33s
   11  2.2e+07   2.0e-06   5.9e-07  0.33s
   12  1.9e+07   1.7e-06   3.1e-06  0.34s
   13  1.7e+07   2.0e-06   5.8e-07  0.34s
   14  1.6e+07   1.8e-06   3.2e-06  0.34s
   15  1.4e+07   2.0e-06   5.8e-07  0.34s
   16  1.3e+07   1.8e-06   3.1e-06  0.35s
   17  1.2e+07   1.9e-06   5.9e-07  0.35s
   18  1.1e+07   1.9e-06   2.9e-06  0.35s
   19  1.1e+07   1.9e-06   6.0e-07  0.35s
   20  1.0e+07   1.9e-06   2.6e-06  0.36s
   21  9.4e+06   1.9e-06   6.2e-07  0.36s
   22  8.9e+06   1.9e-06   2.3e-06  0.36s
   23  8.4e+06   1.9e-06   6.4e-07  0.36s
   24  8.0e+06   1.9e-06   2.1e-06  0.37s
   25  7.6e+06   1.9e-06   6.6e-07  0.37s
   26  7.3e+06   1.9e-06   1.9e-06  0.37s
   27  7.0e+06   1.9e-06   6.9e-07  0.38s
   28  6.7e+06   1.9e-06   1.7e-06  0.38s
   29  6.4e+06   1.9e-06   7.2e-07  0.38s
   30  6.1e+06   2.0e-06   1.5e-06  0.38s
   31  5.9e+06   1.9e-06   7.6e-07  0.39s
   32  5.7e+06   2.0e-06   1.4e-06  0.39s
   33  5.5e+06   1.9e-06   8.0e-07  0.39s
   34  5.3e+06   2.0e-06   1.3e-06  0.40s
   35  5.1e+06   1.9e-06   8.4e-07  0.40s
   36  4.9e+06   2.0e-06   1.2e-06  0.40s
   37  4.8e+06   1.9e-06   8.9e-07  0.41s
   38  4.6e+06   2.0e-06   1.1e-06  0.41s
   39  4.5e+06   1.9e-06   9.4e-07  0.41s
   40  4.4e+06   2.0e-06   1.0e-06  0.42s
   41  4.2e+06   1.9e-06   9.9e-07  0.42s
   42  4.1e+06   2.0e-06   9.7e-07  0.43s
   43  4.0e+06   1.9e-06   1.1e-06  0.43s
   44  3.9e+06   2.0e-06   9.2e-07  0.44s
   45  3.8e+06   1.8e-06   1.1e-06  0.44s
   46  3.6e+06   3.0e-06   8.5e-07  0.44s
   47  3.6e+06   5.2e-07   2.8e-06  0.45s
   48  3.6e+06   7.1e-07   5.2e-07  0.45s
   49  3.1e+06   4.1e-06   4.5e-05  0.46s
   50  3.0e+06   4.6e-08   5.1e-07  0.46s
   51  2.9e+06   4.2e-05   2.7e-06  0.47s
   52  2.5e+06   1.8e-06   8.3e-05  0.47s
   53  2.5e+06   8.0e-07   5.0e-07  0.48s
   54  2.4e+06   6.4e-07   1.3e-05  0.48s
   55  2.3e+06   3.2e-06   5.1e-07  0.48s
   56  2.1e+06   1.6e-06   9.4e-05  0.49s
   57  2.1e+06   1.0e-07   5.6e-07  0.49s
   58  2.1e+06   1.5e-04   5.2e-07  0.50s
   59  2.0e+06   5.1e-07   4.0e-06  0.50s
   60  2.0e+06   3.5e-07   3.8e-06  0.51s
   61  1.9e+06   8.4e-06   5.2e-07  0.51s
   62  1.9e+06   2.7e-07   5.4e-06  0.51s
   63  1.9e+06   2.7e-06   5.1e-07  0.52s
   64  1.7e+06   1.8e-05   2.1e-05  0.52s
   65  1.8e+06   4.7e-07   1.2e-06  0.53s
   66  1.7e+06   2.0e-06   5.7e-07  0.53s
   67  1.7e+06   2.2e-06   3.5e-06  0.54s
   68  1.7e+06   1.9e-06   7.8e-07  0.54s
   69  1.6e+06   3.3e-06   5.8e-07  0.55s
   70  1.6e+06   1.2e-06   4.2e-05  0.55s
   71  1.5e+06   4.6e-06   5.1e-07  0.55s
   72  1.5e+06   1.0e-07   5.8e-05  0.56s
   73  1.4e+06   3.6e-05   5.0e-07  0.56s
   74  1.4e+06   7.1e-07   2.2e-05  0.57s
   75  1.5e+06   1.3e-05   7.9e-07  0.57s
   76  1.4e+06   2.4e-07   4.4e-06  0.58s
   77  1.3e+06   6.8e-06   5.0e-07  0.58s
   78  1.3e+06   6.3e-07   3.8e-05  0.59s
   79  1.3e+06   1.5e-06   8.1e-07  0.59s
   80  1.2e+06   1.6e-05   5.3e-07  0.59s
   81  1.2e+06   3.8e-07   7.9e-06  0.60s
   82  1.2e+06   1.2e-06   1.6e-06  0.60s
   83  1.2e+06   6.6e-06   5.1e-07  0.61s
   84  1.1e+06   2.5e-06   3.2e-05  0.61s
   85  1.2e+06   7.4e-07   5.5e-07  0.62s
   86  1.2e+06   1.2e-06   2.4e-06  0.62s
   87  1.1e+06   2.6e-05   6.2e-07  0.62s
   88  1.1e+06   9.6e-07   6.0e-07  0.63s
   89  1.1e+06   3.3e-07   9.4e-05  0.63s
   90  1.1e+06   9.1e-06   5.5e-07  0.64s
   91  1.1e+06   1.3e-07   8.8e-07  0.64s
   92  1.0e+06   1.1e-05   1.6e-06  0.65s
   93  1.0e+06   1.4e-06   6.0e-07  0.65s
   94  1.0e+06   2.5e-06   2.7e-06  0.66s
   95  9.8e+05   2.1e-06   6.7e-07  0.66s
   96  9.7e+05   2.3e-06   1.1e-06  0.66s
   97  9.6e+05   2.2e-06   5.8e-07  0.67s
   98  9.5e+05   1.3e-06   8.3e-06  0.67s
   99  8.8e+05   1.1e-05   5.0e-07  0.68s
  100  8.8e+05   1.5e-07   2.5e-04  0.68s
  101  8.7e+05   1.5e-06   5.6e-06  0.69s
  102  8.3e+05   1.2e-05   5.1e-07  0.69s
  103  8.2e+05   5.9e-07   4.0e-06  0.69s
  104  8.2e+05   1.6e-06   7.9e-07  0.70s
  105  8.0e+05   2.7e-06   1.2e-06  0.70s
  106  7.9e+05   3.4e-06   7.0e-07  0.71s
  107  7.8e+05   1.6e-06   8.4e-07  0.71s
  108  8.0e+05   1.7e-06   1.3e-06  0.72s
  109  7.6e+05   3.1e-06   3.3e-06  0.72s
  110  7.6e+05   5.1e-07   2.1e-06  0.72s
  111  7.8e+05   1.4e-05   5.1e-07  0.73s
  112  7.5e+05   9.5e-07   9.6e-07  0.73s
  113  7.4e+05   6.1e-07   1.6e-05  0.74s
  114  7.2e+05   9.4e-06   5.2e-07  0.74s
  115  7.1e+05   8.9e-07   5.1e-05  0.74s
  116  7.0e+05   2.5e-06   5.2e-07  0.75s
  117  7.0e+05   8.1e-07   1.4e-05  0.75s
